postcode,latitude,longitude,city
B6,52.50388,-1.88508,Birmingham
B7,52.49307,-1.87185,Birmingham
B72,52.55145,-1.82153,Birmingham
B73,52.55238,-1.84217,Birmingham
B74,52.58297,-1.8583,Birmingham
B75,52.5784,-1.80813,Birmingham
B76,52.5451,-1.78616,Birmingham
B8,52.49034,-1.84092,Birmingham
B9,52.47776,-1.84833,Birmingham
BB1,53.75625,-2.46265,Blackburn with Darwen
BB2,53.74171,-2.50039,Blackburn with Darwen
BB3,53.69781,-2.46503,Blackburn with Darwen
FY1,53.81551,-3.04509,Blackpool
FY2,53.84524,-3.03823,Blackpool
FY3,53.82111,-3.02092,Blackpool
FY4,53.79139,-3.02779,Blackpool
BL1,53.59002,-2.44421,Bolton
BL2,53.58749,-2.39432,Bolton
BL3,53.56489,-2.43186,Bolton
BL4,53.54702,-2.39999,Bolton
BL5,53.54928,-2.51473,Bolton
BL6,53.59142,-2.53941,Bolton
BL7,53.62965,-2.42194,Bolton
BH1,50.72427,-1.85973,Bournemouth
BH10,50.75847,-1.89082,Bournemouth
BH11,50.76119,-1.91634,Bournemouth
BH2,50.72159,-1.88099,Bournemouth
BH3,50.73508,-1.87954,Bournemouth
BH4,50.72071,-1.89799,Bournemouth
BH5,50.72513,-1.83422,Bournemouth
BH6,50.72688,-1.80446,Bournemouth
BH7,50.73502,-1.83135,Bournemouth
BH8,50.74044,-1.85118,Bournemouth
BH9,50.74946,-1.871,Bournemouth
GU47,51.34761,-0.78799,Bracknell Forest
RG12,51.40655,-0.74904,Bracknell Forest
RG42,51.42729,-0.75423,Bracknell Forest
BD1,53.79554,-1.75252,Bradford
BD10,53.83143,-1.72496,Bradford
BD12,53.74611,-1.76039,Bradford
BD13,53.78582,-1.85883,Bradford
BD14,53.78217,-1.81635,Bradford
BD15,53.80917,-1.83597,Bradford
BD16,53.84871,-1.83278,Bradford
BD17,53.84681,-1.76742,Bradford
BD18,53.83154,-1.77662,Bradford
BD2,53.81438,-1.73418,Bradford
BD20,53.89646,-1.94673,Bradford
BD21,53.86407,-1.90571,Bradford
BD22,53.84522,-1.95288,Bradford
BD3,53.79818,-1.72669,Bradford
BD4,53.77569,-1.71773,Bradford
BD5,53.77847,-1.75717,Bradford
BD6,53.76414,-1.78305,Bradford
BD7,53.78301,-1.78143,Bradford
BD8,53.80099,-1.78134,Bradford
BD9,53.81179,-1.78888,Bradford
LS29,53.92058,-1.80356,Bradford
BN1,50.839,-0.13786,Brighton and Hove
BN2,50.82405,-0.10296,Brighton and Hove
BN3,50.83419,-0.17498,Brighton and Hove
BN41,50.8402,-0.21452,Brighton and Hove
MK18,51.97972,-0.96904,Buckingham
HP10,51.60928,-0.70159,Buckinghamshire
HP11,51.62413,-0.74451,Buckinghamshire
HP12,51.62538,-0.77771,Buckinghamshire
HP13,51.63309,-0.74137,Buckinghamshire
HP14,51.64839,-0.82913,Buckinghamshire
HP15,51.65615,-0.71182,Buckinghamshire
HP16,51.70208,-0.71775,Buckinghamshire
HP17,51.77558,-0.86933,Buckinghamshire
HP18,51.81347,-0.98155,Buckinghamshire
HP19,51.8219,-0.82464,Buckinghamshire
HP20,51.81898,-0.80295,Buckinghamshire
HP21,51.80641,-0.80473,Buckinghamshire
HP22,51.80601,-0.76558,Buckinghamshire
HP27,51.71944,-0.83019,Buckinghamshire
HP5,51.71251,-0.60744,Buckinghamshire
HP6,51.67823,-0.59836,Buckinghamshire
HP7,51.66487,-0.6089,Buckinghamshire
HP8,51.64286,-0.57344,Buckinghamshire
HP9,51.61035,-0.63801,Buckinghamshire
SL0,51.52431,-0.51371,Buckinghamshire
SL7,51.57411,-0.7762,Buckinghamshire
SL8,51.57786,-0.70682,Buckinghamshire
SL9,51.59677,-0.55467,Buckinghamshire
UB9,51.58157,-0.49019,Buckinghamshire
BL0,53.64526,-2.31468,Bury
BL8,53.60478,-2.32647,Bury
BL9,53.5914,-2.28557,Bury
M25,53.5285,-2.27459,Bury
M26,53.56161,-2.33369,Bury
M45,53.54734,-2.28829,Bury
HD6,53.70121,-1.78186,Calderdale
HX1,53.72111,-1.86966,Calderdale
HX2,53.73733,-1.90448,Calderdale
HX3,53.72648,-1.84387,Calderdale
HX4,53.67978,-1.88039,Calderdale
HX5,53.68601,-1.83494,Calderdale
HX6,53.69779,-1.92426,Calderdale
HX7,53.73916,-2.00758,Calderdale
OL14,53.71395,-2.0985,Calderdale
CB1,52.17611,0.18955,Cambridgeshire
CB2,52.16276,0.13333,Cambridgeshire
CB21,52.13194,0.29553,Cambridgeshire
CB22,52.12718,0.12898,Cambridgeshire
CB23,52.21349,-0.02215,Cambridgeshire
CB24,52.31538,0.02762,Cambridgeshire
CB25,52.26083,0.23615,Cambridgeshire
CB3,52.21324,0.02448,Cambridgeshire
CB4,52.24312,0.11521,Cambridgeshire
CB5,52.23868,0.21021,Cambridgeshire
CB6,52.40388,0.22434,Cambridgeshire
CB7,52.36606,0.32087,Cambridgeshire
CB8,52.23083,0.42659,Cambridgeshire
PE13,52.66895,0.13868,Cambridgeshire
PE15,52.53589,0.08649,Cambridgeshire
PE16,52.45379,0.05022,Cambridgeshire
PE19,52.24203,-0.2584,Cambridgeshire
PE26,52.45292,-0.1132,Cambridgeshire
PE27,52.33361,-0.07572,Cambridgeshire
PE28,52.35784,-0.18629,Cambridgeshire
PE29,52.33345,-0.17848,Cambridgeshire
PE7,52.53877,-0.19801,Cambridgeshire
SG8,52.06369,-0.01293,Cambridgeshire
LU5,51.90829,-0.5127,Central Bedfordshire
LU6,51.87711,-0.53552,Central Bedfordshire
LU7,51.90921,-0.66388,Central Bedfordshire
MK45,52.02462,-0.46803,Central Bedfordshire
SG15,52.01276,-0.26149,Central Bedfordshire
SG16,52.01507,-0.29638,Central Bedfordshire
SG17,52.03445,-0.33063,Central Bedfordshire
SG18,52.08208,-0.26609,Central Bedfordshire
SG19,52.13925,-0.24049,Central Bedfordshire
CW1,53.10281,-2.43469,Cheshire East
CW10,53.18907,-2.44604,Cheshire East
CW11,53.1426,-2.36482,Cheshire East
CW12,53.16455,-2.21093,Cheshire East
CW2,53.08119,-2.44642,Cheshire East
CW3,52.99952,-2.40534,Cheshire East
CW4,53.20648,-2.34739,Cheshire East
CW5,53.062,-2.52084,Cheshire East
SK10,53.27793,-2.12899,Cheshire East
SK11,53.24646,-2.14238,Cheshire East
SK12,53.35169,-2.09165,Cheshire East
SK9,53.32723,-2.22975,Cheshire East
WA16,53.3026,-2.37068,Cheshire East
CH1,53.20173,-2.90732,Cheshire West and Chester
CH2,53.2164,-2.86869,Cheshire West and Chester
CH3,53.1664,-2.8213,Cheshire West and Chester
CH64,53.28779,-3.04717,Cheshire West and Chester
CH65,53.27729,-2.90142,Cheshire West and Chester
CH66,53.27704,-2.93442,Cheshire West and Chester
CW6,53.16197,-2.66565,Cheshire West and Chester
CW7,53.19054,-2.52688,Cheshire West and Chester
CW8,53.2533,-2.56363,Cheshire West and Chester
CW9,53.25897,-2.50074,Cheshire West and Chester
SY14,53.02924,-2.76203,Cheshire West and Chester
WA6,53.27222,-2.72285,Cheshire West and Chester
BS1,51.45309,-2.593,City of Bristol
BS10,51.50606,-2.60954,City of Bristol
BS11,51.49672,-2.67425,City of Bristol
BS13,51.41163,-2.61116,City of Bristol
BS14,51.41278,-2.56084,City of Bristol
BS2,51.45945,-2.58013,City of Bristol
BS3,51.43776,-2.60144,City of Bristol
BS4,51.43437,-2.56111,City of Bristol
BS5,51.4614,-2.54992,City of Bristol
BS6,51.47015,-2.59898,City of Bristol
BS7,51.48643,-2.58047,City of Bristol
BS8,51.45745,-2.62041,City of Bristol
BS9,51.4871,-2.62513,City of Bristol
BS99,51.45769,-2.57291,City of Bristol
HU1,53.74288,-0.33494,City of Kingston-upon-Hull
HU2,53.75011,-0.33769,City of Kingston-upon-Hull
HU3,53.74148,-0.36381,City of Kingston-upon-Hull
HU4,53.73568,-0.40043,City of Kingston-upon-Hull
HU5,53.75961,-0.37524,City of Kingston-upon-Hull
HU6,53.7811,-0.36834,City of Kingston-upon-Hull
HU7,53.7886,-0.32554,City of Kingston-upon-Hull
HU8,53.76845,-0.29903,City of Kingston-upon-Hull
HU9,53.75567,-0.28589,City of Kingston-upon-Hull
EC2M,51.51811,-0.08578,City of London
EC2N,51.51631,-0.08586,City of London
EC2R,51.5164,-0.09162,City of London
EC2V,51.51553,-0.0931,City of London
EC2Y,51.52007,-0.09579,City of London
EC3,51.51357,-0.08309,City of London
EC3A,51.51534,-0.08158,City of London
EC3M,51.51267,-0.08313,City of London
EC3N,51.5126,-0.07881,City of London
EC3R,51.51179,-0.08461,City of London
EC3V,51.51361,-0.08597,City of London
EC4,51.51475,-0.10034,City of London
EC4A,51.51576,-0.10751,City of London
EC4M,51.51475,-0.10034,City of London
EC4N,51.51463,-0.09314,City of London
EC4R,51.51191,-0.09181,City of London
EC4V,51.51293,-0.09897,City of London
EC4Y,51.51397,-0.10758,City of London
EX23,50.82366,-4.53323,Cornwall
PL10,50.34537,-4.21106,Cornwall
PL11,50.3725,-4.2503,Cornwall
PL12,50.41932,-4.2483,Cornwall
PL13,50.35715,-4.47456,Cornwall
PL14,50.46351,-4.4646,Cornwall
PL15,50.63218,-4.39987,Cornwall
PL17,50.51625,-4.3051,Cornwall
PL18,50.51523,-4.21899,Cornwall
PL22,50.40273,-4.65146,Cornwall
PL23,50.33653,-4.63513,Cornwall
PL24,50.35461,-4.70925,Cornwall
PL25,50.34038,-4.77872,Cornwall
PL26,50.34196,-4.8252,Cornwall
PL27,50.52248,-4.87408,Cornwall
PL28,50.53366,-4.96651,Cornwall
PL29,50.58564,-4.82988,Cornwall
PL30,50.49992,-4.72743,Cornwall
PL31,50.46858,-4.7214,Cornwall
PL32,50.63282,-4.66015,Cornwall
PL33,50.6213,-4.73021,Cornwall
PL34,50.6597,-4.74234,Cornwall
PL35,50.68444,-4.68431,Cornwall
TR1,50.26241,-5.05347,Cornwall
TR10,50.16624,-5.11736,Cornwall
TR11,50.14907,-5.08684,Cornwall
TR12,50.0431,-5.17923,Cornwall
TR13,50.10945,-5.28435,Cornwall
TR14,50.20987,-5.29686,Cornwall
TR15,50.23225,-5.23669,Cornwall
TR16,50.23272,-5.21988,Cornwall
TR17,50.12482,-5.46735,Cornwall
TR18,50.1163,-5.54089,Cornwall
TR19,50.10012,-5.62783,Cornwall
TR2,50.25334,-4.95186,Cornwall
TR20,50.13138,-5.48882,Cornwall
TR26,50.20276,-5.4786,Cornwall
TR27,50.18162,-5.4028,Cornwall
TR3,50.21684,-5.10944,Cornwall
TR4,50.28359,-5.13626,Cornwall
TR5,50.30819,-5.19127,Cornwall
TR6,50.34167,-5.15134,Cornwall
TR7,50.41304,-5.073,Cornwall
TR8,50.39869,-5.03689,Cornwall
TR9,50.41387,-4.93648,Cornwall
DH1,54.78103,-1.56616,County Durham
DH2,54.85933,-1.59648,County Durham
DH3,54.87181,-1.56675,County Durham
DH6,54.75276,-1.46391,County Durham
DH7,54.78943,-1.66406,County Durham
DH8,54.85541,-1.84422,County Durham
DH9,54.86773,-1.70704,County Durham
DL12,54.57239,-1.98453,County Durham
DL13,54.71619,-1.95343,County Durham
DL14,54.65199,-1.68999,County Durham
DL15,54.7096,-1.72836,County Durham
DL16,54.69848,-1.60429,County Durham
DL17,54.68118,-1.54086,County Durham
DL4,54.63029,-1.64368,County Durham
DL5,54.61749,-1.57565,County Durham
SR7,54.83046,-1.36168,County Durham
SR8,54.7665,-1.33471,County Durham
TS21,54.62676,-1.42529,County Durham
TS27,54.72309,-1.28728,County Durham
TS28,54.72536,-1.37265,County Durham
TS29,54.71032,-1.41945,County Durham
HR1,52.06415,-2.66963,County of Herefordshire
HR2,52.0095,-2.78393,County of Herefordshire
HR3,52.09353,-3.07446,County of Herefordshire
HR4,52.08784,-2.76632,County of Herefordshire
HR5,52.19196,-3.02708,County of Herefordshire
HR6,52.23258,-2.77028,County of Herefordshire
HR7,52.18629,-2.52079,County of Herefordshire
HR8,52.04454,-2.44331,County of Herefordshire
HR9,51.90816,-2.58153,County of Herefordshire
WR13,52.09433,-2.34161,County of Herefordshire
CV1,52.40939,-1.506,Coventry
CV2,52.4227,-1.46467,Coventry
CV3,52.3931,-1.48119,Coventry
CV4,52.39794,-1.56492,Coventry
CV5,52.41227,-1.55008,Coventry
CV6,52.43188,-1.50722,Coventry
CV7,52.44378,-1.563,Coventry
CA1,54.88535,-2.91046,Cumbria
CA10,54.61104,-2.65966,Cumbria
CA11,54.66422,-2.78611,Cumbria
CA12,54.60214,-3.13326,Cumbria
CA13,54.65997,-3.36589,Cumbria
CA14,54.63454,-3.53704,Cumbria
CA15,54.71165,-3.48096,Cumbria
CA16,54.57413,-2.48269,Cumbria
CA17,54.47841,-2.35037,Cumbria
CA18,54.35408,-3.38958,Cumbria
CA19,54.38651,-3.38297,Cumbria
CA2,54.88415,-2.9494,Cumbria
CA20,54.40987,-3.46081,Cumbria
CA21,54.44516,-3.51451,Cumbria
CA22,54.48001,-3.53123,Cumbria
CA23,54.51465,-3.49236,Cumbria
CA24,54.51493,-3.54181,Cumbria
CA25,54.52243,-3.51737,Cumbria
CA26,54.54445,-3.48108,Cumbria
CA27,54.49091,-3.59186,Cumbria
CA28,54.54324,-3.57689,Cumbria
CA3,54.9076,-2.93904,Cumbria
CA4,54.84636,-2.83326,Cumbria
CA5,54.85485,-3.0157,Cumbria
CA6,54.99423,-2.8926,Cumbria
CA7,54.80696,-3.23702,Cumbria
CA8,54.93895,-2.68531,Cumbria
CA9,54.80176,-2.4185,Cumbria
LA10,54.31433,-2.49348,Cumbria
LA11,54.20034,-2.92446,Cumbria
LA12,54.20351,-3.08246,Cumbria
LA13,54.11792,-3.19805,Cumbria
LA14,54.1185,-3.2302,Cumbria
LA15,54.15588,-3.1777,Cumbria
LA16,54.1862,-3.20155,Cumbria
LA17,54.2386,-3.17545,Cumbria
LA18,54.21512,-3.27448,Cumbria
LA19,54.29312,-3.37523,Cumbria
LA20,54.29404,-3.20469,Cumbria
LA21,54.3645,-3.07283,Cumbria
LA22,54.42276,-2.98649,Cumbria
LA23,54.37122,-2.91136,Cumbria
LA7,54.22568,-2.77162,Cumbria
LA8,54.32373,-2.75961,Cumbria
LA9,54.32563,-2.74273,Cumbria
DL1,54.53016,-1.53637,Darlington
DL2,54.5286,-1.6013,Darlington
DL3,54.53209,-1.57035,Darlington
DE1,52.91994,-1.47492,Derby
DE21,52.93322,-1.43161,Derby
DE22,52.93351,-1.49559,Derby
DE23,52.90114,-1.49448,Derby
DE24,52.89016,-1.4515,Derby
DE3,52.90852,-1.54049,Derby
DE11,52.77372,-1.55377,Derbyshire
DE12,52.72516,-1.55279,Derbyshire
DE4,53.12707,-1.56357,Derbyshire
DE45,53.21464,-1.6765,Derbyshire
DE5,53.04456,-1.4018,Derbyshire
DE55,53.10104,-1.37114,Derbyshire
DE56,53.02152,-1.47369,Derbyshire
DE6,52.99358,-1.7169,Derbyshire
DE65,52.86651,-1.60927,Derbyshire
DE7,52.9722,-1.32089,Derbyshire
DE72,52.8933,-1.35929,Derbyshire
DE73,52.84694,-1.43571,Derbyshire
DE75,53.01284,-1.35305,Derbyshire
NG10,52.90005,-1.28187,Derbyshire
S18,53.29931,-1.47178,Derbyshire
S21,53.31213,-1.33802,Derbyshire
S32,53.29454,-1.63839,Derbyshire
S33,53.3415,-1.72061,Derbyshire
S40,53.23356,-1.44562,Derbyshire
S41,53.24696,-1.42746,Derbyshire
S42,53.20019,-1.42209,Derbyshire
S43,53.2672,-1.34172,Derbyshire
S44,53.22478,-1.31241,Derbyshire
S45,53.16602,-1.42106,Derbyshire
SK13,53.4479,-1.96386,Derbyshire
SK17,53.24378,-1.87861,Derbyshire
SK22,53.3724,-1.98497,Derbyshire
SK23,53.32744,-1.94895,Derbyshire
EX1,50.72543,-3.50479,Devon
EX10,50.69252,-3.24461,Devon
EX11,50.74603,-3.28714,Devon
EX12,50.70585,-3.08066,Devon
EX13,50.78655,-3.00733,Devon
EX14,50.81272,-3.1896,Devon
EX15,50.87675,-3.33907,Devon
EX16,50.92258,-3.49122,Devon
EX17,50.81176,-3.70205,Devon
EX18,50.90155,-3.88739,Devon
EX19,50.87712,-4.0044,Devon
EX2,50.70998,-3.51705,Devon
EX20,50.75004,-4.01882,Devon
EX21,50.80507,-4.20857,Devon
EX22,50.82804,-4.3673,Devon
EX24,50.73816,-3.08849,Devon
EX3,50.68645,-3.45824,Devon
EX31,51.08566,-4.06339,Devon
EX32,51.07115,-4.01849,Devon
EX33,51.11343,-4.16894,Devon
EX34,51.19829,-4.10278,Devon
EX35,51.2236,-3.82749,Devon
EX36,51.01638,-3.79224,Devon
EX37,50.97875,-3.95179,Devon
EX38,50.94376,-4.15107,Devon
EX39,51.01394,-4.24557,Devon
EX4,50.73055,-3.52621,Devon
EX5,50.75684,-3.43916,Devon
EX6,50.67744,-3.59668,Devon
EX7,50.59183,-3.47227,Devon
EX8,50.62958,-3.40133,Devon
EX9,50.6386,-3.32239,Devon
PL16,50.64562,-4.26757,Devon
PL19,50.55602,-4.15454,Devon
PL20,50.50125,-4.09986,Devon
PL21,50.38566,-3.91748,Devon
PL8,50.33548,-4.01243,Devon
TQ10,50.42412,-3.81906,Devon
TQ11,50.48137,-3.78179,Devon
TQ12,50.52882,-3.61142,Devon
TQ13,50.59296,-3.71817,Devon
TQ14,50.55002,-3.50626,Devon
TQ6,50.34655,-3.58837,Devon
TQ7,50.28256,-3.78278,Devon
TQ8,50.23686,-3.77125,Devon
TQ9,50.41619,-3.68924,Devon
DN1,53.52205,-1.1296,Doncaster
DN11,53.45158,-1.08284,Doncaster
DN12,53.48313,-1.22082,Doncaster
DN2,53.53264,-1.10222,Doncaster
DN3,53.54578,-1.05817,Doncaster
DN4,53.50581,-1.12088,Doncaster
DN5,53.53763,-1.17153,Doncaster
DN6,53.5961,-1.17643,Doncaster
DN7,53.58139,-1.01508,Doncaster
DN8,53.61415,-0.95535,Doncaster
BH16,50.73783,-2.04394,Dorset
BH19,50.61102,-1.9689,Dorset
BH20,50.68648,-2.14582,Dorset
BH21,50.81248,-1.97303,Dorset
BH22,50.80524,-1.88787,Dorset
BH23,50.74567,-1.75335,Dorset
BH31,50.87537,-1.87207,Dorset
DT1,50.71093,-2.44052,Dorset
DT10,50.93702,-2.33306,Dorset
DT11,50.86091,-2.18047,Dorset
DT2,50.74955,-2.45365,Dorset
DT3,50.64067,-2.46674,Dorset
DT4,50.60921,-2.4636,Dorset
DT5,50.54724,-2.44041,Dorset
DT6,50.73886,-2.77528,Dorset
DT7,50.7286,-2.94657,Dorset
DT8,50.81632,-2.7581,Dorset
DT9,50.94086,-2.51529,Dorset
SP7,51.0039,-2.18245,Dorset
SP8,51.03696,-2.28956,Dorset
B62,52.45628,-2.03238,Dudley
B63,52.45177,-2.06622,Dudley
DY1,52.51648,-2.0958,Dudley
DY2,52.49671,-2.08102,Dudley
DY3,52.52994,-2.12826,Dudley
DY5,52.48049,-2.12223,Dudley
DY6,52.49842,-2.16353,Dudley
DY8,52.45978,-2.15455,Dudley
DY9,52.43554,-2.1221,Dudley
DN14,53.70747,-0.93638,East Riding of Yorkshire
HU10,53.75149,-0.44078,East Riding of Yorkshire
HU11,53.82572,-0.21921,East Riding of Yorkshire
HU12,53.72369,-0.13105,East Riding of Yorkshire
HU13,53.72446,-0.43572,East Riding of Yorkshire
HU14,53.72799,-0.50078,East Riding of Yorkshire
HU15,53.74831,-0.62139,East Riding of Yorkshire
HU16,53.78179,-0.41993,East Riding of Yorkshire
HU17,53.8466,-0.42661,East Riding of Yorkshire
HU18,53.90944,-0.16692,East Riding of Yorkshire
HU19,53.72277,0.03566,East Riding of Yorkshire
HU20,53.78836,-0.51229,East Riding of Yorkshire
YO15,54.0939,-0.17715,East Riding of Yorkshire
YO16,54.09514,-0.20004,East Riding of Yorkshire
YO25,54.00465,-0.41302,East Riding of Yorkshire
YO41,53.96966,-0.90227,East Riding of Yorkshire
YO42,53.92274,-0.7908,East Riding of Yorkshire
YO43,53.84976,-0.68952,East Riding of Yorkshire
BN10,50.7953,0.00232,East Sussex
BN20,50.77449,0.25536,East Sussex
BN21,50.77228,0.27653,East Sussex
BN22,50.78832,0.2844,East Sussex
BN23,50.79764,0.31325,East Sussex
BN24,50.81618,0.3312,East Sussex
BN25,50.77633,0.10932,East Sussex
BN26,50.82098,0.22352,East Sussex
BN27,50.87146,0.2643,East Sussex
BN7,50.87719,0.00014,East Sussex
BN8,50.91318,0.05148,East Sussex
BN9,50.79536,0.05058,East Sussex
RH18,51.09702,0.03104,East Sussex
TN19,51.00262,0.40754,East Sussex
TN20,51.02633,0.25615,East Sussex
TN21,50.95871,0.26427,East Sussex
TN22,50.98067,0.10005,East Sussex
TN31,50.96233,0.68748,East Sussex
TN32,50.9793,0.4904,East Sussex
TN33,50.91032,0.47676,East Sussex
TN34,50.86393,0.58374,East Sussex
TN35,50.88036,0.61309,East Sussex
TN36,50.92061,0.70216,East Sussex
TN37,50.87168,0.55858,East Sussex
TN38,50.86297,0.54531,East Sussex
TN39,50.84602,0.45488,East Sussex
TN40,50.84449,0.48463,East Sussex
TN5,51.06471,0.36223,East Sussex
TN6,51.05216,0.17464,East Sussex
TN7,51.09204,0.10938,East Sussex
CB10,52.02989,0.26551,Essex
CB11,51.99938,0.21443,Essex
CM0,51.66221,0.83719,Essex
CM1,51.74454,0.45694,Essex
CM11,51.62335,0.44605,Essex
CM12,51.62757,0.41593,Essex
CM13,51.61564,0.33872,Essex
CM14,51.61835,0.29263,Essex
CM15,51.64328,0.30545,Essex
CM16,51.69981,0.12161,Essex
CM17,51.77043,0.14522,Essex
CM18,51.75584,0.10685,Essex
CM19,51.76,0.07515,Essex
CM2,51.72141,0.48754,Essex
CM20,51.77476,0.10483,Essex
CM22,51.86164,0.22218,Essex
CM24,51.8988,0.20657,Essex
CM3,51.71932,0.58445,Essex
CM4,51.67392,0.39235,Essex
CM5,51.72083,0.24857,Essex
CM6,51.8768,0.36678,Essex
CM7,51.89752,0.53797,Essex
CM8,51.80536,0.6387,Essex
CM9,51.74097,0.70159,Essex
CO1,51.88891,0.9096,Essex
CO11,51.94126,1.0789,Essex
CO12,51.93115,1.25427,Essex
CO13,51.83802,1.23884,Essex
CO14,51.84979,1.26873,Essex
CO15,51.7962,1.15605,Essex
CO16,51.82039,1.1258,Essex
CO2,51.86947,0.89527,Essex
CO3,51.88466,0.86281,Essex
CO4,51.90654,0.92383,Essex
CO5,51.81459,0.82209,Essex
CO6,51.92419,0.78968,Essex
CO7,51.8838,1.0052,Essex
CO8,51.97328,0.76797,Essex
CO9,51.96878,0.61043,Essex
EN9,51.69451,0.01427,Essex
IG10,51.64775,0.06569,Essex
IG7,51.61316,0.08867,Essex
IG9,51.62391,0.04004,Essex
RM4,51.63255,0.16038,Essex
SS11,51.6151,0.53807,Essex
SS12,51.60556,0.52164,Essex
SS13,51.57433,0.50981,Essex
SS14,51.57507,0.47521,Essex
SS15,51.57687,0.432,Essex
SS16,51.56201,0.4543,Essex
SS4,51.59406,0.71452,Essex
SS5,51.60722,0.6503,Essex
SS6,51.58746,0.60872,Essex
SS7,51.56202,0.57984,Essex
SS8,51.5222,0.59057,Essex
CH4,53.16823,-2.93803,Flintshire
CH5,53.20424,-3.04064,Flintshire
CH6,53.25003,-3.14518,Flintshire
CH7,53.16924,-3.13256,Flintshire
CH8,53.28144,-3.24053,Flintshire
NE10,54.94726,-1.55345,Gateshead
NE11,54.94123,-1.63157,Gateshead
NE16,54.9324,-1.69096,Gateshead
NE17,54.91378,-1.81591,Gateshead
NE21,54.95764,-1.71888,Gateshead
NE39,54.92357,-1.75813,Gateshead
NE40,54.96584,-1.77193,Gateshead
NE8,54.95552,-1.60333,Gateshead
NE9,54.93118,-1.58328,Gateshead
GL1,51.8599,-2.23962,Gloucestershire
GL10,51.7429,-2.28391,Gloucestershire
GL11,51.68875,-2.35591,Gloucestershire
GL12,51.62482,-2.3843,Gloucestershire
GL13,51.69289,-2.45867,Gloucestershire
GL14,51.81691,-2.47879,Gloucestershire
GL15,51.73656,-2.55036,Gloucestershire
GL16,51.79561,-2.61054,Gloucestershire
GL17,51.85542,-2.51405,Gloucestershire
GL18,51.94124,-2.41464,Gloucestershire
GL19,51.94252,-2.28662,Gloucestershire
GL2,51.84635,-2.26714,Gloucestershire
GL20,52.00304,-2.12966,Gloucestershire
GL3,51.86451,-2.17719,Gloucestershire
GL4,51.84196,-2.2163,Gloucestershire
GL5,51.73855,-2.2187,Gloucestershire
GL50,51.89968,-2.07995,Gloucestershire
GL51,51.89876,-2.10756,Gloucestershire
GL52,51.91588,-2.05816,Gloucestershire
GL53,51.88081,-2.06684,Gloucestershire
GL54,51.89693,-1.86338,Gloucestershire
GL55,52.06043,-1.76806,Gloucestershire
GL56,51.98836,-1.70435,Gloucestershire
GL6,51.735,-2.19117,Gloucestershire
GL7,51.71263,-1.89723,Gloucestershire
GL8,51.64151,-2.17054,Gloucestershire
BR1,51.41107,0.02192,Greater London
BR2,51.38858,0.02237,Greater London
BR3,51.40297,-0.0302,Greater London
BR4,51.37559,-0.00695,Greater London
BR5,51.38983,0.10436,Greater London
BR6,51.36575,0.0932,Greater London
BR7,51.41019,0.07222,Greater London
CR0,51.37223,-0.07463,Greater London
CR2,51.34983,-0.07988,Greater London
CR4,51.40415,-0.15813,Greater London
CR5,51.31211,-0.13886,Greater London
CR7,51.39517,-0.10242,Greater London
CR8,51.33594,-0.11061,Greater London
DA14,51.42475,0.11316,Greater London
